Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7517006802721088,0.3673469387755102,0.7659574468085106,0.496551724137931,0.8073908174692048
XGBoost,0.8197278911564626,0.44,0.46808510638297873,0.4536082474226804,0.7892152640192954
Random Forest,0.8197278911564626,0.35,0.14893617021276595,0.208955223880597,0.778103195796365
Decision Tree,0.7585034013605442,0.34210526315789475,0.5531914893617021,0.42276422764227645,0.6381255922129382
